name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood
Chelsea Place 1 & 2,,,,,,,,,,,,,,,,,,2044520110x116,,,http://www.qualitymanagement.net,,,,,,,,,,,,,,Senior Housing,,,,130 Beliveau St,,,Winnipeg,,,MB,,R2M 1S7,Canada,49.83664700000001,-97.1068937,Worthington
Arden Hollows,,,,,,,,,,,,,,,,,,204 509-7806,,,http://www.timbercreekfunds.com,,,,,,,,,,,,,,Senior Housing,,,,15 Arden Ave,,,Winnipeg,,,MB,,R2M 2J8,Canada,49.8350148,-97.1155217,Pulberry
Arden Estates,,,,,,,,,,,,,,,,,,204 960-1344,,,,,,,,,,,,,,,,,Senior Housing,,,,24 Arden Ave,,,Winnipeg,,,MB,,R2M 2J9,Canada,49.8340451,-97.1158031,Pulberry
Appleton Estates II,,,,135niakwa@edisonproperties.ca,,,,,,,,,,,,,,204 940-3483,,,http://www.EdisonProperties.ca,,,,,,,,,,,,,,Senior Housing,,,,135 Niakwa Rd,,,Winnipeg,,,MB,,R2M 5K2,Canada,49.8564265,-97.0973712,Alpine Place
St. Vital Knights Villa Phase 1,,,,,,,,,,,,,,,,,,204 982-2000,,,,,,,,,,,,,,,,,Senior Housing,,,,537 St Anne's Rd,,,Winnipeg,,,MB,,R2M 3E8,Canada,49.8400032,-97.0919835,Lavalee
Willow Centre,,,,,,,,,,,,,,,,,,204 632-5940,,,,,,,,,,,,,,,,,Senior Housing,,,,61 Tyndall Ave,,,Winnipeg,,,MB,,R2X 2T4,Canada,49.93533569999999,-97.18841689999999,Burrows - Keewatin
St Mary The Protectress Ukranian Orthodox Millenium Villa Inc.,,,,,,,,,,,,,,,,,,204 586-5816,,,,,,,,,,,,,,,,,Senior Housing,,,,800 Burrows Ave,,,Winnipeg,,,MB,,R2X 3A9,Canada,49.9223039,-97.15608759999999,Burrows Central
Chalet Louis Riel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senior Housing,,,,67 Richfield Ave,,,Winnipeg,,,MB,,R2M 2R9,Canada,49.83738220000001,-97.09001990000002,Meadowood
Templeton Properties,,,,,,,,,,,,,,,,,,204 334-0420,,,,,,,,,,,,,,,,,Senior Housing,,,,250 300 Templeton Ave,,,Winnipeg,,,MB,,R2V 1S2,Canada,49.94683,-97.11335969999999,Margaret Park
St Benedict's Place,,,,,,,,,,,,,,,,,,,,,http://www.stbens.ca,,,,,,,,,,,,,,Senior Housing,,,,225 Masters Ave,,,Winnipeg,,,MB,,R4A 2A1,Canada,49.9945253,-97.0481238,
Shelard Manor,,,,shelard@globegeneral.ca,,,,,,,,,,,,,,204 633-0716,,,,,,,,,,,,,,,,,Senior Housing,,,,200 Adsum Dr,,,Winnipeg,,,MB,,R2P 0W7,Canada,49.9545755,-97.1637806,The Maples
Appleton Estates 1,,,,133niawka@edisonproperties.ca,,,,,,,,,,,,,,204 940-3482,,,http://www.EdisonProperties.ca,,,,,,,,,,,,,,Senior Housing,,,,133 Niakwa Rd,,,Winnipeg,,,MB,,R2M 5J5,Canada,49.8560689,-97.0984528,Alpine Place
