name,contact_first_name,contact_last_name,contact_name,email,contact_email,fax,mailing_address_line_1,mailing_address_line_2,mailing_city,mailing_contact_first_name,mailing_contact_last_name,mailing_contact_name,mailing_country,mailing_county,mailing_postalcode,mailing_province,provider_name,primary_phone,secondary_phone,twitter,website,source,contact_occupation,dsgne_first_name,dsgne_last_name,admin_name,co_address_line_1,co_address_line_2,co_company,co_city,co_postalcode,co_province,ombudsman_phone,typeofcare,typeofcare2,low_high_rate,low_rate,high_rate,address_line_1,address_line_2,address_directions,city,municipality,region,province,state_id,postal_code,country,latitude,longitude,neighborhood,addr_valid
Baillie House,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11666 Laity St,,,Maple Ridge,,,BC,,V2X 7G5,Canada,49.2155155,-122.6300294,Haney,True
Bradley Centre,,,, ,,604.795.4150,,,,,,,,,,,,604.795.4103,,,,,,,,,,,,,,,,,,,,,45600 Menholm Rd,,,Chilliwack,,,BC,,V2P 1P7,Canada,49.166644,-121.9637349,Chilliwack Proper Village West,True
Carelife/Fleetwood,,,, ,,604.598.7229,,,,,,,,,,,,604.598.7200,,,,,,,,,,,,,,,,,,,,,8265 159 St,,,Surrey,,,BC,,V4N 5T5,Canada,49.15269,-122.7822247,,True
Cedar Hill,,,, ,,604.533.6468,,,,,,,,,,,,604.533.6413,,,,,,,,,,,,,,,,,,,,,22051 Fraser Hwy,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,,True
Cottage-Worthington Pavilion,,,, ,,604.870.7997,,,,,,,,,,,,604.870.7999,,,,,,,,,,,,,,,,,,,,,33457 Cottage Ln,,,Abbotsford,,,BC,,V2S 0B3,Canada,49.041135,-122.297791,Mill Lake,True
Eagle Ridge Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475 Guildford Way,,,Port Moody,,,BC,,V3H 3W9,Canada,49.2850899,-122.82402,,True
Fraser Hope Lodge,,,, ,,604.860.7708,,,,,,,,,,,,604.860.7706,,,,,,,,,,,,,,,,,,,,,1275A 7th Ave,,,Hope,,,BC,,V0X 1L4,Canada,49.3768912,-121.4242582,,True
Evergreen Timbers,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5464 203 St,,,Langley,,,BC,,V3A 0A4,Canada,49.1016929,-122.6584485,,True
MSA Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510 Gladwin Rd,,,Abbotsford,,,BC,,V2T 3N9,Canada,49.0475096,-122.3145179,Mill Lake,True
Maple Hill,,,, ,,604.533.6426,,,,,,,,,,,,604.514.6095,,,,,,,,,,,,,,,,,,,,,22051 Fraser Hwy,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,,True
Marrwood,,,, ,,604.533.6401,,,,,,,,,,,,604.533.6423,,,,,,,,,,,,,,,,,,,,,22051 Fraser Hwy,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,,True
Mountain View Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800 Mountain View Blvd,,,Delta,,,BC,,V4K 3V6,Canada,49.08567730000001,-123.0618836,Ladner,True
Peace Arch Hospital - Al Hogg Pavilion,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15521 Russell Ave,,,White Rock,,,BC,,V4B 2R4,Canada,49.0301274,-122.7921925,,True
Queen's Park Care Centre,,,, ,,604.517.8651,,,,,,,,,,,,604.520.0911,,,,,,,,,,,,,,,,,,,,,315 McBride Blvd,,,New Westminster,,,BC,,V3L 5E8,Canada,49.2168667,-122.9023583,,True
Rosewood,,,, ,,604.533.6427,,,,,,,,,,,,604.514.6026,,,,,,,,,,,,,,,,,,,,,22051 Fraser Hwy,,,Langley,,,BC,,V3A 4H4,Canada,49.09443570000001,-122.6124141,,True
Oceanside,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15521 Russell Ave,,,White Rock,,,BC,,V4B 2R4,Canada,49.0301274,-122.7921925,,True
Dania Manor,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4155 Norland Ave,,,Burnaby,,,BC,,V5G 3S7,Canada,49.24722000000001,-122.97584,,True
Victoria Heights,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230 Ross Dr,,,New Westminster,,,BC,,V3L 0B1,Canada,49.21357899999999,-122.9001205,,True
Augustine House,,,, ,,,,,,,,,,,,,,,1.866.940.6005,,,,,,,,,,,,,,,,,,,,3820 Arthur Dr,,,Delta,,,BC,,V4K 3N2,Canada,49.073062,-123.077155,,True
The Emerald at Elim Village,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9080 158 St,,,Surrey,,,BC,,V4N 5G4,Canada,49.1678568,-122.7842203,,True
Sto:lo Elders Lodge,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7519 Topaz Dr,,,Chilliwack,,,BC,,V2R 0E8,Canada,49.1389349,-121.9670607,Sardis,True
Bevan Lodge,,,, ,,604.850.5418,,,,,,,,,,,,604.850.5416,,,,,,,,,,,,,,,,,,,,,33386 Bevan Ave,,,Abbotsford,,,BC,,V2S 5G6,Canada,49.0417573,-122.2993356,Mill Lake,True
Gateway Independent Living for Seniors,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13787 100 Ave,,,Surrey,,,BC,,V3T 5X7,Canada,49.1847317,-122.8404363,Whalley,True
Waverly Seniors Village,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8445 Young Rd,,,Chilliwack,,,BC,,V2P 4P2,Canada,49.1554583,-121.9519837,Chilliwack Proper Village West,True
The Cascades,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45586 McIntosh Dr,,,Chilliwack,,,BC,,V2P 7W8,Canada,49.1609803,-121.9628995,Chilliwack Proper Village West,True
Evergreen Heights,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1501 Everall St,,,White Rock,,,BC,,V4B 3S8,Canada,49.0293954,-122.8098635,,True
Czorny Alzheimer Centre,,,, ,,604.575.6710,,,,,,,,,,,,604.575.6700,,,,,,,,,,,,,,,,,,,,,16850 66 Ave,,,Surrey,,,BC,,V3S 5M1,Canada,49.122411,-122.755087,,True
Saint Michael's Centre,,,, ,,604.434.6469,,,,,,,,,,,,604.434.1323,,,,,,,,,,,,,,,,,,,,,7451 Sussex Ave,,,Burnaby,,,BC,,V5J 5C2,Canada,49.2159691,-123.0051885,,True
Belvedere Care Centre,,,, ,,604.939.5910,,,,,,,,,,,,604.939.5991,,,,,,,,,,,,,,,,,,,,,739 Alderson Ave,,,Coquitlam,,,BC,,V3K 1T9,Canada,49.23988199999999,-122.878261,,True
Kinsmen Place Lodge,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9650 137A St,,,Surrey,,,BC,,V3T 4H9,Canada,49.1777442,-122.8420964,Whalley,True
Cherington Place,,,, ,,604.582.9028,,,,,,,,,,,,604.581.2885,,,,,,,,,,,,,,,,,,,,,13453 111A Ave,,,Surrey,,,BC,,V3R 2C5,Canada,49.2055578,-122.849455,,True
