row_id,﻿Facility Name,Address1,City,Zip,State,Phone,State Licensed Beds,Country,facility_type
USA-DE-76-DE-AssistedLiving-output-1,Arden Courts of Wilmington,700 1/2 Foulk Rd.,Wilmington,19803-3708,DE,302-762-7800,56,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-2,Brandywine Senior Living at Fenwick Island,21111 Arrington Drive,Selbyville,19975,DE,302-436-0808,125,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-3,Brandywine Senior Living at Seaside Pointe,36101 Seaside Blvd.,Rehoboth Beach,19971-1189,DE,302-226-8750,150,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-4,Brookdale Dover,150 Saulsbury Road,Dover,19904-2776,DE,302-674-4407,96,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-5,Brookdale Hockessin,6677 Lancaster Pike,Hockessin,19707-9503,DE,302-239-3200,66,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-6,Brookdale White Chapel,200 E. Village Road,Newark,19711-3845,DE,302-366-8100,132,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-7,Cadbury at Lewes  Assisted Living,17028 Cadbury Circle,Lewes,19958-7028,DE,302-645-6400,45,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-8,Dover Place,1203 Walker Road,Dover,19904-6541,DE,302-735-8800,80,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-9,"Five Star Foulk Manor North LLC, Assisted Living",1212 Foulk Road,Wilmington,19803-2741,DE,302-478-4296,44,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-10,Forwood Manor Assisted Living,1912 Marsh Road,Wilmington,19810-3954,DE,302-529-1601,40,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-11,Foulk Manor South Assisted Living,407 Foulk Road,Wilmington,19803-3809,DE,302-655-6249,62,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-12,"Ingleside Assisted Living, LLC",1605 North Broom Street,Wilmington,19806-3009,DE,302-984-0950,60,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-13,"Ivy Gables LTD, LLC.",2210 Swiss Lane,Wilmington,19810-4241,DE,302-475-9400,24,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-14,Lodge Lane Assisted Living,1221 Lodge Lane,Wilmington,19809,DE,302-757-8100,60,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-15,Luther Towers I,1201 North Harrison Street,Wilmington,19806-3534,DE,302-654-4491,41,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-16,Luther Towers II,1420 North Franklin Street,Wilmington,19806-3187,DE,302-654-4491,34,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-17,Milford Place,500 S. DuPont Highway,Milford,19963-1758,DE,302-422-8700,80,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-18,Millcroft Assisted Living,255 Possum Park Rd.,Newark,19711-3877,DE,302-366-0160,36,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-19,OakBridge Terrace Assisted Living at Manor House,1001 Middleford Road,Seaford,19973-3638,DE,302-629-4593,75,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-20,OakBridge Terrace at Cokesbury Village,726 Loveville Road,Hockessin,19707-1519,DE,302-234-4444,49,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-21,OakBridge Terrace at Country House,4830 Kennett Pike,Wilmington,19807-1899,DE,302-654-5101,40,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-22,Peach Tree Acres Assisted Living,26900 Lewes-Georgetown Highway,Harbeson,19951-2855,DE,302-684-4002,20,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-23,Rockland Place,1519 Rockland Road,Wilmington,19803-3611,DE,302-777-3099,104,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-24,Serenity Gardens Assisted Living,207 Ruth Drive,Middletown,19709-9470,DE,302-464-1481,14,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-25,Shipley Manor Assisted Living,2723 Shipley Road,Wilmington,19810-3251,DE,302-479-0111,17,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-26,Somerford House,501 South Harmony Road,Newark,19713-3338,DE,302-266-9255,72,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-27,Somerford Place,4175 Ogletown-Stanton Road,Newark,19713-4168,DE,302-283-0540,52,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-28,State Street Assisted Living,21 North State Street,Dover,19901,DE,302-674-2144,98,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-29,Sunrise Assisted Living of Wilmington,2215 Shipley Road,Wilmington,19803-2305,DE,302-475-9163,90,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-30,The Lorelton,2200 West 4th St.,Wilmington,19805-3362,DE,302-573-3580,100,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-31,The Summit Assisted Living,5850 Limestone Road,Hockessin,19707,DE,302-235-8743,120,US,Assisted Living
USA-DE-76-DE-AssistedLiving-output-32,Westminster Village Assisted Living,1167 McKee Road,Dover,19904-2268,DE,302-744-3558,99,US,Assisted Living
