row_id,name,license_num,licensure_status,care_level,owner,number_of_floors,number_of_suites,size_of_suites,facilities,services,website,source,contact,phone,cell,fax,email,participation,ownership_type,number_of_beds,council_type,facility_type,branch_of,licensed_beds,secured_beds,ombudsman_phone,mail_co_company,mail_co_street_address,mail_co_po_box,mail_co_city,mail_co_province,mail_co_postal_code,license_type,maine_care_available,multilevel,handicap_accessible,class,dqa_region_category,license_level,ownership,contact_occupation,certification_types,provider_number,gender,initial_license,certification_fee_due,license_renewal_fee_due,licensee_name,licensee_phone,licensee_contact,licensee_street_address,licensee_city,licensee_province,licensee_postal_code,licensee_country,low_high_rate,type,specialty_programs,home_and_community_based_services,ceritifications,currently_occupied_as_of,currently_occupied_beds,alzeimers_special_care_unit_provided,street_address,po_box,city,province,postal_code,country
USA-LA-94-AssistedLiving-94-AssistedLiving-1,Beau Maison,2203783047,,,,,,,,,,http://www.lalaonline.org/members/?id=44555614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,No,3520 Cleary Avenue,,Metairie,LA,70002,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-2,Blake Management Group,,,,,,,,,,,http://www.lalaonline.org/members/?id=38308806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,,LA,,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-3,Blue Cross Blue Shield Of Louisiana,,,,,,,,,,http://www.bcbsla.com/Pages/Home.aspx,http://www.lalaonline.org/members/?id=43489553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,5525 Reitz Avenue,,Baton Rouge,LA,70809,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-4,Bloom Senior Living (Bloom at Bossier),,,,,,,,,,http://bloomatbossier.com,http://www.lalaonline.org/members/?id=33672177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,Bossier City,LA,71112,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-5,"Barbara Reece, Executive Director, A & D Residential Care",,,,,,,,,,,http://www.lalaonline.org/members/?id=25706323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,New Orleans,LA,70114,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-6,"Patti Guidry, Assistant Executive Director, Azalea Estates of Slidell - Robert",,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25706334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,Slidell,LA,70458,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-7,Azalea Estates of New Iberia - Andre,11640,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,New Iberia,LA,70563,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-8,Azalea Estates of Gonzales - Purpera,11644,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=25578755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,Gonzales,LA,70737,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-9,Beau Provence,2203782086,,,,,,,,,http://beauprovence.com/,http://www.lalaonline.org/members/?id=29464971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,Yes,,,Mandeville,LA,70471,USA
USA-LA-94-AssistedLiving-94-AssistedLiving-10,"Tasha McCullers, Executive Assistant, Azalea Estates of New Iberia - Andre",,,,,,,,,,http://azaleaestates.com/louisiana/,http://www.lalaonline.org/members/?id=28827158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assisted Living,,,,,,,,,New Iberia,LA,70563,USA
